market_id,market_name,district,lat,lng,price_per_quintal,fetched_at,source
MKT-001,Burdwan Mandi,Purba Bardhaman,23.24,87.87,1000,2026-05-20T22:35:28Z,data.gov.in
MKT-002,Kolkata Wholesale,Kolkata,22.57,88.36,930,2026-05-20T22:35:28Z,data.gov.in
MKT-004,Malda APMC,Malda,25.01,88.15,510,2026-05-20T22:35:28Z,data.gov.in
MKT-005,Asansol Mandi,Paschim Bardhaman,23.68,86.96,1810,2026-05-20T22:35:28Z,data.gov.in
MKT-006,Krishnanagar Mandi,Nadia,23.41,88.49,1010,2026-05-20T22:35:28Z,data.gov.in
MKT-007,Berhampore APMC,Murshidabad,24.1,88.25,1740,2026-05-20T22:35:28Z,data.gov.in
MKT-008,Bankura Mandi,Bankura,23.23,87.07,775,2026-05-20T22:35:28Z,data.gov.in
MKT-003,Siliguri Hub,Darjeeling,26.73,88.4,750,2026-05-20T22:35:28Z,data.gov.in
